pupilonrolltableid,NativeId,fsmperiodsonrolltableid,fsmperiodsonrollorderseqcolumn,sourceid,fsmstartdate,fsmenddate,ukcountry
4b3fc2a3-1a1,SCH1,7b39c037,7649,8ae9597a,2024-Dec-11 00:00:00,,ENG
4b3fc2a3-1a1,SCH1,5b1db9aa,7650,8ae9597a,2024-Sep-23 00:00:00,2024-Dec-12 00:00:00,ENG
4b3fc2a3-1a1,SCH1,087a65dc,7651,8ae9597a,2024-Nov-26 00:00:00,2024-Sep-01 00:00:00,NIR
4b3fc2a3-1a1,SCH1,f710cfe4,7652,8ae9597a,2024-Nov-27 00:00:00,2024-Sep-14 00:00:00,ENG
4b3fc2a3-1a1,SCH1,06505b15,7653,8ae9597a,2024-Sep-01 00:00:00,,ENG
4b3fc2a3-1a1,SCH1,c0f67f10,7654,8ae9597a,2024-Nov-07 00:00:00,,ENG
4b3fc2a3-1a1,SCH1,d73842d2,7655,8ae9597a,2024-Sep-19 00:00:00,2024-Oct-18 00:00:00,ENG
4b3fc2a3-1a1,SCH1,fd839dd1,7656,8ae9597a,2024-Oct-04 00:00:00,,ENG
4b3fc2a3-1a1,SCH1,6629e283,7657,8ae9597a,2024-Oct-15 00:00:00,,ENG
4b3fc2a3-1a1,SCH1,432f80c1,7658,8ae9597a,2024-Sep-12 00:00:00,,ENG
4b637827-709,SCH5,598d62a7,7659,7d5127a4,2024-Dec-19 00:00:00,,ENG
4b637827-709,SCH5,c9884681,7660,7d5127a4,2024-Nov-14 00:00:00,2024-Sep-14 00:00:00,ENG
4b637827-709,SCH5,9775a137,7661,7d5127a4,2024-Dec-05 00:00:00,,SCT
4b637827-709,SCH5,796ada65,7662,7d5127a4,2024-Sep-19 00:00:00,,SCT
4b637827-709,SCH5,7b26ba73,7663,7d5127a4,2024-Sep-23 00:00:00,2024-Sep-17 00:00:00,SCT
4b7f2450-a28,SCH3,02540c15,7664,c8ea10c2,2024-Sep-02 00:00:00,,ENG
4b7f2450-a28,SCH3,2dbeac34,7665,c8ea10c2,2024-Oct-22 00:00:00,,NIR
4b7f2450-a28,SCH3,0a39626c,7666,c8ea10c2,2024-Sep-20 00:00:00,,ENG
4b7f2450-a28,SCH3,efe2ef2c,7667,c8ea10c2,2024-Oct-23 00:00:00,2024-Oct-30 00:00:00,ENG
4b7f2450-a28,SCH3,ecd51ceb,7668,c8ea10c2,2024-Sep-03 00:00:00,,
4b8bb898-b4d,SCH3,37f7d917,7669,30654283,2024-Sep-29 00:00:00,,SCT
4b8bb898-b4d,SCH3,7860e6ef,7670,30654283,2024-Oct-25 00:00:00,,ENG
4b8bb898-b4d,SCH3,6fa6fe4f,7671,30654283,2024-Dec-16 00:00:00,2024-Nov-17 00:00:00,ENG
4b8bb898-b4d,SCH3,74fbcd51,7672,30654283,2024-Sep-29 00:00:00,2024-Sep-18 00:00:00,SCT
4b8bb898-b4d,SCH3,cf8934c5,7673,30654283,2024-Nov-25 00:00:00,2024-Dec-10 00:00:00,ENG
4b9ca702-2eb,SCH8,1bc37bfd,7674,080e6db9,2024-Nov-27 00:00:00,2024-Sep-11 00:00:00,ENG
4b9ca702-2eb,SCH8,9aa08d12,7675,080e6db9,2024-Sep-15 00:00:00,2024-Oct-06 00:00:00,ENG
4b9ca702-2eb,SCH8,645f3730,7676,080e6db9,2024-Nov-23 00:00:00,,ENG
4b9ca702-2eb,SCH8,dd47fdeb,7677,080e6db9,2024-Dec-11 00:00:00,2024-Sep-10 00:00:00,NIR
4b9ca702-2eb,SCH8,3d6562f5,7678,080e6db9,2024-Nov-03 00:00:00,2024-Sep-09 00:00:00,SCT
4b9ca702-2eb,SCH8,c27cc7a1,7679,080e6db9,2024-Nov-11 00:00:00,2024-Oct-28 00:00:00,SCT
4b9fa890-941,SCH8,61c656ab,7680,712cc7bd,2024-Dec-18 00:00:00,2024-Dec-19 00:00:00,ENG
4b9fa890-941,SCH8,5582f70e,7681,712cc7bd,2024-Sep-05 00:00:00,,WLS
4b9fa890-941,SCH8,a36fccea,7682,712cc7bd,2024-Sep-10 00:00:00,2024-Sep-30 00:00:00,ENG
4b9fa890-941,SCH8,2201e9f7,7683,712cc7bd,2024-Nov-05 00:00:00,,ENG
4b9fa890-941,SCH8,022c8918,7684,712cc7bd,2024-Oct-01 00:00:00,,ENG
4b9fa890-941,SCH8,aa3d2598,7685,712cc7bd,2024-Dec-17 00:00:00,2024-Oct-18 00:00:00,ENG
4b9fa890-941,SCH8,b85c346d,7686,712cc7bd,2024-Oct-12 00:00:00,2024-Dec-09 00:00:00,SCT
4b9fa890-941,SCH8,eef40726,7687,712cc7bd,2024-Nov-06 00:00:00,2024-Oct-23 00:00:00,ENG
4b9fa890-941,SCH8,b4b991b5,7688,712cc7bd,2024-Sep-01 00:00:00,,ENG
4b9fa890-941,SCH8,ba552a2a,7689,712cc7bd,2024-Sep-13 00:00:00,,ENG
4bc31f60-17a,SCH6,a58b15f3,7690,169f9064,2024-Oct-24 00:00:00,,SCT
4bc54f6d-84d,SCH4,f88fd646,7691,90c4fb79,2024-Oct-25 00:00:00,2024-Sep-03 00:00:00,ENG
4bc54f6d-84d,SCH4,959c730c,7692,90c4fb79,2024-Oct-28 00:00:00,2024-Oct-19 00:00:00,
4bcf8c54-cc9,SCH4,92353dd8,7693,6466ba36,2024-Oct-14 00:00:00,2024-Dec-01 00:00:00,
4bcf8c54-cc9,SCH4,338f2e99,7694,6466ba36,2024-Oct-28 00:00:00,,ENG
4bcf8c54-cc9,SCH4,b62424d9,7695,6466ba36,2024-Nov-26 00:00:00,,ENG
4bcf8c54-cc9,SCH4,067301a3,7696,6466ba36,2024-Dec-01 00:00:00,,ENG
4bcf8c54-cc9,SCH4,d241d8e9,7697,6466ba36,2024-Dec-12 00:00:00,2024-Sep-08 00:00:00,ENG
4bcf8c54-cc9,SCH4,e3faa0e9,7698,6466ba36,2024-Nov-02 00:00:00,,
4bcf8c54-cc9,SCH4,d03cd3b0,7699,6466ba36,2024-Nov-23 00:00:00,2024-Nov-26 00:00:00,ENG
4bcf8c54-cc9,SCH4,d2ade60c,7700,6466ba36,2024-Oct-13 00:00:00,,WLS
4bd30d11-c8d,SCH3,8b3898fc,7701,7e99ad8a,2024-Sep-19 00:00:00,,
4bd30d11-c8d,SCH3,4f6c6139,7702,7e99ad8a,2024-Sep-03 00:00:00,2024-Dec-01 00:00:00,ENG
4bd30d11-c8d,SCH3,b44dc6b7,7703,7e99ad8a,2024-Sep-26 00:00:00,,ENG
4bd30d11-c8d,SCH3,ea792351,7704,7e99ad8a,2024-Nov-03 00:00:00,2024-Oct-21 00:00:00,ENG
4bd30d11-c8d,SCH3,624139ad,7705,7e99ad8a,2024-Dec-02 00:00:00,2024-Nov-03 00:00:00,ENG
4bd7ae8a-314,SCH5,05692f3c,7706,bb3aa669,2024-Dec-18 00:00:00,,SCT
4bd7ae8a-314,SCH5,42107559,7707,bb3aa669,2024-Nov-27 00:00:00,,ENG
4bd7ae8a-314,SCH5,fb549113,7708,bb3aa669,2024-Sep-19 00:00:00,2024-Nov-05 00:00:00,ENG
4bd7ae8a-314,SCH5,a8680666,7709,bb3aa669,2024-Sep-14 00:00:00,,SCT
4bd7ae8a-314,SCH5,520f3b3b,7710,bb3aa669,2024-Dec-10 00:00:00,,SCT
4bd7ae8a-314,SCH5,3d5a03d5,7711,bb3aa669,2024-Nov-28 00:00:00,,SCT
4bd7ae8a-314,SCH5,2b251b29,7712,bb3aa669,2024-Sep-22 00:00:00,,WLS
4bd7ae8a-314,SCH5,cb0472b0,7713,bb3aa669,2024-Oct-28 00:00:00,2024-Nov-05 00:00:00,ENG
4bd7ae8a-314,SCH5,72ae0471,7714,bb3aa669,2024-Sep-15 00:00:00,,ENG
4bd7ae8a-314,SCH5,b2cb9eac,7715,bb3aa669,2024-Sep-07 00:00:00,,ENG
4bde5e06-6f1,SCH4,bd3e2828,7716,0db3dbad,2024-Oct-27 00:00:00,2024-Dec-08 00:00:00,ENG
4bde5e06-6f1,SCH4,eb59d4d8,7717,0db3dbad,2024-Nov-18 00:00:00,,ENG
4bde5e06-6f1,SCH4,c0bc5c53,7718,0db3dbad,2024-Sep-17 00:00:00,2024-Sep-14 00:00:00,NIR
4bde5e06-6f1,SCH4,b3250764,7719,0db3dbad,2024-Oct-16 00:00:00,,NIR
4bde5e06-6f1,SCH4,378e03ce,7720,0db3dbad,2024-Nov-13 00:00:00,2024-Oct-23 00:00:00,
4bde5e06-6f1,SCH4,8cf86504,7721,0db3dbad,2024-Nov-23 00:00:00,,SCT
4bde5e06-6f1,SCH4,d4722e72,7722,0db3dbad,2024-Nov-26 00:00:00,,SCT
4bde5e06-6f1,SCH4,23937b0f,7723,0db3dbad,2024-Dec-07 00:00:00,2024-Sep-08 00:00:00,ENG
4bde5e06-6f1,SCH4,f7beb840,7724,0db3dbad,2024-Nov-22 00:00:00,,ENG
4bde5e06-6f1,SCH4,da86970d,7725,0db3dbad,2024-Nov-13 00:00:00,,ENG
4be054fd-858,SCH8,10fd6526,7726,2bb8b914,2024-Dec-03 00:00:00,2024-Dec-12 00:00:00,ENG
4be054fd-858,SCH8,a2a5d9db,7727,2bb8b914,2024-Oct-12 00:00:00,,ENG
4be054fd-858,SCH8,f18d1801,7728,2bb8b914,2024-Oct-15 00:00:00,2024-Sep-03 00:00:00,ENG
4be054fd-858,SCH8,c0d224ce,7729,2bb8b914,2024-Oct-25 00:00:00,2024-Oct-03 00:00:00,ENG
4be054fd-858,SCH8,1c39afd7,7730,2bb8b914,2024-Sep-19 00:00:00,2024-Sep-28 00:00:00,SCT
4be054fd-858,SCH8,12d4113a,7731,2bb8b914,2024-Nov-20 00:00:00,,ENG
4be054fd-858,SCH8,fee96871,7732,2bb8b914,2024-Oct-04 00:00:00,,SCT
4be054fd-858,SCH8,e8c51d4c,7733,2bb8b914,2024-Sep-17 00:00:00,,ENG
4be054fd-858,SCH8,af708ff5,7734,2bb8b914,2024-Oct-13 00:00:00,2024-Sep-25 00:00:00,ENG
4be054fd-858,SCH8,5bfb74da,7735,2bb8b914,2024-Oct-26 00:00:00,2024-Nov-08 00:00:00,ENG
4bed721f-784,SCH1,455fe1f0,7736,e678881f,2024-Oct-06 00:00:00,,SCT
4bed721f-784,SCH1,e6a30dd6,7737,e678881f,2024-Nov-07 00:00:00,2024-Oct-20 00:00:00,ENG
4bf48695-275,SCH2,24fb164d,7738,0259524e,2024-Nov-22 00:00:00,,ENG
4bf48695-275,SCH2,d8a34c7b,7739,0259524e,2024-Sep-19 00:00:00,,ENG
4bf48695-275,SCH2,9d11fb49,7740,0259524e,2024-Nov-11 00:00:00,2024-Dec-16 00:00:00,ENG
4c01337e-9a5,SCH6,76af0076,7741,9bcd1bdb,2024-Oct-10 00:00:00,2024-Nov-15 00:00:00,NIR
4c01337e-9a5,SCH6,3775a1b6,7742,9bcd1bdb,2024-Oct-20 00:00:00,,SCT
4c01337e-9a5,SCH6,ddb4a394,7743,9bcd1bdb,2024-Dec-08 00:00:00,,SCT
4c01337e-9a5,SCH6,df9c35ca,7744,9bcd1bdb,2024-Dec-12 00:00:00,,ENG
4c0e7851-3a5,SCH3,94dbc982,7745,f09b6764,2024-Dec-09 00:00:00,2024-Oct-05 00:00:00,ENG
4c0e7851-3a5,SCH3,44aa4f19,7746,f09b6764,2024-Dec-06 00:00:00,,ENG
4c0e7851-3a5,SCH3,dc123c06,7747,f09b6764,2024-Sep-27 00:00:00,,ENG
4c0e7851-3a5,SCH3,09eae5a8,7748,f09b6764,2024-Oct-01 00:00:00,2024-Oct-01 00:00:00,ENG
4c0e7851-3a5,SCH3,33f63ef3,7749,f09b6764,2024-Nov-29 00:00:00,2024-Dec-03 00:00:00,SCT
4c0e7851-3a5,SCH3,92f8de20,7750,f09b6764,2024-Nov-06 00:00:00,,ENG
4c0e7851-3a5,SCH3,f573db00,7751,f09b6764,2024-Nov-23 00:00:00,2024-Oct-26 00:00:00,ENG
4c0e7851-3a5,SCH3,88260d9f,7752,f09b6764,2024-Sep-16 00:00:00,,SCT
4c0e7851-3a5,SCH3,54a445a4,7753,f09b6764,2024-Nov-24 00:00:00,,ENG
4c1c1051-60d,SCH3,11f1407d,7754,f0b36851,2024-Sep-18 00:00:00,2024-Sep-03 00:00:00,NIR
4c1c1051-60d,SCH3,a42231c3,7755,f0b36851,2024-Dec-19 00:00:00,,SCT
4c1c1051-60d,SCH3,d2fed6d8,7756,f0b36851,2024-Nov-09 00:00:00,2024-Oct-31 00:00:00,ENG
4c1c1051-60d,SCH3,a78c89c2,7757,f0b36851,2024-Sep-23 00:00:00,,ENG
4c31398f-3f2,SCH4,4aac7f1e,7758,b33b8ccb,2024-Nov-12 00:00:00,2024-Oct-07 00:00:00,ENG
4c56cf1a-ed9,SCH1,40950411,7759,76179bea,2024-Oct-03 00:00:00,,ENG
4c56cf1a-ed9,SCH1,c96aa71a,7760,76179bea,2024-Dec-19 00:00:00,2024-Oct-22 00:00:00,SCT
4c56cf1a-ed9,SCH1,45bf0e0c,7761,76179bea,2024-Oct-19 00:00:00,,ENG
4c6690dd-26a,SCH7,79286559,7762,401f4bd0,2024-Oct-21 00:00:00,,SCT
4c6690dd-26a,SCH7,2c7014f8,7763,401f4bd0,2024-Oct-01 00:00:00,,ENG
4c6690dd-26a,SCH7,fc6052b3,7764,401f4bd0,2024-Oct-02 00:00:00,2024-Oct-29 00:00:00,SCT
4c6690dd-26a,SCH7,8ce49347,7765,401f4bd0,2024-Oct-08 00:00:00,2024-Oct-31 00:00:00,SCT
4c6690dd-26a,SCH7,660b688c,7766,401f4bd0,2024-Oct-30 00:00:00,,
4c6690dd-26a,SCH7,75bc7355,7767,401f4bd0,2024-Oct-05 00:00:00,2024-Oct-30 00:00:00,ENG
4c6ab39f-26a,SCH5,ce47b1b7,7768,01fb72f9,2024-Dec-18 00:00:00,2024-Sep-07 00:00:00,ENG
4c6ab39f-26a,SCH5,babb51e6,7769,01fb72f9,2024-Oct-01 00:00:00,,ENG
4c6ab39f-26a,SCH5,279e0f22,7770,01fb72f9,2024-Oct-30 00:00:00,,
4c6ab39f-26a,SCH5,f14994d5,7771,01fb72f9,2024-Oct-18 00:00:00,,ENG
4c6ab39f-26a,SCH5,0e7c5e98,7772,01fb72f9,2024-Sep-17 00:00:00,2024-Oct-02 00:00:00,ENG
4c6ab39f-26a,SCH5,8e0e9acd,7773,01fb72f9,2024-Dec-02 00:00:00,2024-Dec-17 00:00:00,ENG
4c6ab39f-26a,SCH5,1eb154cc,7774,01fb72f9,2024-Nov-07 00:00:00,2024-Nov-18 00:00:00,SCT
4c6ab39f-26a,SCH5,c851c259,7775,01fb72f9,2024-Oct-13 00:00:00,,ENG
4c6ac4ee-b5c,SCH4,b0007c12,7776,b3229c45,2024-Dec-09 00:00:00,2024-Sep-05 00:00:00,WLS
4c6ac4ee-b5c,SCH4,9bed4f17,7777,b3229c45,2024-Oct-20 00:00:00,,SCT
4c6ac4ee-b5c,SCH4,208d4a64,7778,b3229c45,2024-Dec-12 00:00:00,2024-Oct-25 00:00:00,ENG
4c6ac4ee-b5c,SCH4,a584e46d,7779,b3229c45,2024-Dec-11 00:00:00,,SCT
4c6ac4ee-b5c,SCH4,a2554b7f,7780,b3229c45,2024-Sep-15 00:00:00,,ENG
4c6ac4ee-b5c,SCH4,3745b9ce,7781,b3229c45,2024-Sep-17 00:00:00,2024-Dec-03 00:00:00,ENG
4ca061d8-1b0,SCH2,d9b791e4,7782,7b8ecf76,2024-Sep-20 00:00:00,2024-Nov-12 00:00:00,ENG
4ca061d8-1b0,SCH2,c41b97c0,7783,7b8ecf76,2024-Nov-17 00:00:00,2024-Nov-03 00:00:00,ENG
4ca061d8-1b0,SCH2,a524856b,7784,7b8ecf76,2024-Dec-11 00:00:00,,ENG
4ca061d8-1b0,SCH2,e82da016,7785,7b8ecf76,2024-Sep-08 00:00:00,,ENG
4ca061d8-1b0,SCH2,156471c6,7786,7b8ecf76,2024-Sep-13 00:00:00,,ENG
4ca061d8-1b0,SCH2,cb2b509e,7787,7b8ecf76,2024-Sep-09 00:00:00,,ENG
4caa4107-e53,SCH7,e52a87e1,7788,655351a7,2024-Sep-29 00:00:00,,SCT
4caa4107-e53,SCH7,147eac10,7789,655351a7,2024-Sep-05 00:00:00,,
4caa4107-e53,SCH7,9cfaece5,7790,655351a7,2024-Oct-01 00:00:00,2024-Oct-02 00:00:00,SCT
4caa4107-e53,SCH7,d37fab6c,7791,655351a7,2024-Nov-26 00:00:00,,ENG
4caa4107-e53,SCH7,50295f80,7792,655351a7,2024-Dec-01 00:00:00,,SCT
4caa4107-e53,SCH7,009a2628,7793,655351a7,2024-Sep-13 00:00:00,,
4caa4107-e53,SCH7,b46bc479,7794,655351a7,2024-Sep-12 00:00:00,,ENG
4cbb2c51-a1b,SCH4,16af0bea,7795,6e38ea6b,2024-Oct-11 00:00:00,,ENG
4cbb2c51-a1b,SCH4,87114e48,7796,6e38ea6b,2024-Oct-13 00:00:00,,ENG
4cbb2c51-a1b,SCH4,48615037,7797,6e38ea6b,2024-Sep-23 00:00:00,,SCT
4cbb2c51-a1b,SCH4,22a55fe4,7798,6e38ea6b,2024-Dec-08 00:00:00,2024-Nov-08 00:00:00,NIR
4cbb2c51-a1b,SCH4,097f509b,7799,6e38ea6b,2024-Sep-15 00:00:00,,
4cbb2c51-a1b,SCH4,97d847f9,7800,6e38ea6b,2024-Sep-09 00:00:00,2024-Nov-09 00:00:00,ENG
4cd1b68f-a11,SCH5,d2acd090,7801,4cc7c9ef,2024-Nov-07 00:00:00,,ENG
4cd92e94-531,SCH4,9ff891cb,7802,41eb7951,2024-Dec-13 00:00:00,,NIR
4cd92e94-531,SCH4,3f4b0771,7803,41eb7951,2024-Dec-03 00:00:00,2024-Oct-17 00:00:00,ENG
4cd92e94-531,SCH4,8983f2b0,7804,41eb7951,2024-Sep-13 00:00:00,2024-Oct-02 00:00:00,ENG
4cd92e94-531,SCH4,cd2ce85f,7805,41eb7951,2024-Dec-16 00:00:00,,ENG
4cddb9a4-b4b,SCH2,a68ef12b,7806,c60e08ae,2024-Dec-18 00:00:00,2024-Oct-04 00:00:00,ENG
4cddb9a4-b4b,SCH2,3f71a5dd,7807,c60e08ae,2024-Oct-27 00:00:00,,ENG
4cddb9a4-b4b,SCH2,bd8fbecd,7808,c60e08ae,2024-Sep-20 00:00:00,,ENG
4cddb9a4-b4b,SCH2,6b7ac046,7809,c60e08ae,2024-Nov-16 00:00:00,2024-Oct-31 00:00:00,ENG
4cddb9a4-b4b,SCH2,4ca6dea5,7810,c60e08ae,2024-Oct-08 00:00:00,2024-Oct-05 00:00:00,ENG
4cddb9a4-b4b,SCH2,620ff875,7811,c60e08ae,2024-Dec-09 00:00:00,2024-Sep-07 00:00:00,ENG
4ce62c65-527,SCH2,c41d275a,7812,5d439513,2024-Nov-13 00:00:00,2024-Sep-28 00:00:00,ENG
4ce62c65-527,SCH2,a00fdee6,7813,5d439513,2024-Dec-15 00:00:00,2024-Sep-16 00:00:00,NIR
4ce62c65-527,SCH2,4789949c,7814,5d439513,2024-Oct-26 00:00:00,2024-Sep-02 00:00:00,ENG
4ce62c65-527,SCH2,4ce8b2f9,7815,5d439513,2024-Sep-22 00:00:00,2024-Dec-09 00:00:00,ENG
4ce62c65-527,SCH2,c415a889,7816,5d439513,2024-Nov-25 00:00:00,2024-Nov-23 00:00:00,WLS
4ce62c65-527,SCH2,8d211f76,7817,5d439513,2024-Nov-11 00:00:00,,ENG
4ce62c65-527,SCH2,ac404b6c,7818,5d439513,2024-Nov-04 00:00:00,2024-Sep-23 00:00:00,ENG
4ce62c65-527,SCH2,85d64dec,7819,5d439513,2024-Oct-06 00:00:00,,ENG
4ce8d6a0-df2,SCH1,eee94b5f,7820,c07ab990,2024-Sep-01 00:00:00,,ENG
4ce8d6a0-df2,SCH1,feb672d6,7821,c07ab990,2024-Sep-18 00:00:00,2024-Nov-28 00:00:00,WLS
4ce8d6a0-df2,SCH1,b831e4eb,7822,c07ab990,2024-Oct-26 00:00:00,,ENG
4d0aeb90-c7c,SCH6,9b312c9f,7823,99e001f6,2024-Nov-20 00:00:00,2024-Dec-16 00:00:00,WLS
4d0aeb90-c7c,SCH6,3e9de7a0,7824,99e001f6,2024-Oct-27 00:00:00,2024-Oct-13 00:00:00,ENG
4d0aeb90-c7c,SCH6,45baa28a,7825,99e001f6,2024-Nov-27 00:00:00,,
4d0aeb90-c7c,SCH6,4689a4e9,7826,99e001f6,2024-Sep-30 00:00:00,2024-Sep-10 00:00:00,ENG
4d0aeb90-c7c,SCH6,607f36da,7827,99e001f6,2024-Sep-26 00:00:00,,ENG
4d1b0374-42f,SCH5,5c610ace,7828,0283d0a5,2024-Oct-18 00:00:00,2024-Nov-21 00:00:00,ENG
4d1b0374-42f,SCH5,af2586e7,7829,0283d0a5,2024-Nov-05 00:00:00,2024-Dec-05 00:00:00,SCT
4d1b0374-42f,SCH5,13d4b68e,7830,0283d0a5,2024-Oct-06 00:00:00,2024-Oct-03 00:00:00,SCT
4d1b0374-42f,SCH5,a059ad22,7831,0283d0a5,2024-Oct-03 00:00:00,,SCT
4d1b0374-42f,SCH5,becefa94,7832,0283d0a5,2024-Sep-11 00:00:00,,WLS
4d1b0374-42f,SCH5,8eeac439,7833,0283d0a5,2024-Oct-13 00:00:00,,ENG
4d1b0374-42f,SCH5,ee792ead,7834,0283d0a5,2024-Nov-01 00:00:00,,SCT
4d23d034-0ab,SCH7,87e0f0a6,7835,f15303fd,2024-Nov-13 00:00:00,2024-Dec-19 00:00:00,ENG
4d23d034-0ab,SCH7,ac36cf3b,7836,f15303fd,2024-Dec-12 00:00:00,2024-Oct-24 00:00:00,SCT
4d23d034-0ab,SCH7,8db36a7e,7837,f15303fd,2024-Sep-16 00:00:00,,ENG
4d23d034-0ab,SCH7,7b9dbedf,7838,f15303fd,2024-Sep-21 00:00:00,2024-Sep-11 00:00:00,SCT
4d23d034-0ab,SCH7,3980c643,7839,f15303fd,2024-Sep-06 00:00:00,2024-Nov-19 00:00:00,NIR
4d23d034-0ab,SCH7,ac93d821,7840,f15303fd,2024-Oct-25 00:00:00,,ENG
4d23d034-0ab,SCH7,11b806da,7841,f15303fd,2024-Dec-11 00:00:00,2024-Nov-22 00:00:00,
4d23d034-0ab,SCH7,9e16bb68,7842,f15303fd,2024-Oct-23 00:00:00,2024-Sep-23 00:00:00,ENG
4d23d034-0ab,SCH7,aab94b7b,7843,f15303fd,2024-Dec-13 00:00:00,,ENG
4d4a1fd1-2b2,SCH7,736ff783,7844,4593ea79,2024-Dec-16 00:00:00,,ENG
4d4a1fd1-2b2,SCH7,09f782bf,7845,4593ea79,2024-Sep-23 00:00:00,,NIR
4d4a1fd1-2b2,SCH7,384ebddb,7846,4593ea79,2024-Oct-29 00:00:00,,ENG
4d4a1fd1-2b2,SCH7,a7e96c83,7847,4593ea79,2024-Sep-14 00:00:00,2024-Oct-21 00:00:00,
4d4a1fd1-2b2,SCH7,5ab8ffbf,7848,4593ea79,2024-Oct-01 00:00:00,,WLS
4d4a1fd1-2b2,SCH7,d07f6d11,7849,4593ea79,2024-Oct-24 00:00:00,2024-Nov-14 00:00:00,ENG
4d4a1fd1-2b2,SCH7,f438543f,7850,4593ea79,2024-Nov-10 00:00:00,,SCT
4d4a1fd1-2b2,SCH7,b4f7330f,7851,4593ea79,2024-Nov-28 00:00:00,2024-Sep-02 00:00:00,WLS
4d60749f-d09,SCH3,bd9784f1,7852,324f95e0,2024-Nov-20 00:00:00,,ENG
4d60749f-d09,SCH3,c928b55c,7853,324f95e0,2024-Sep-07 00:00:00,2024-Sep-14 00:00:00,
4d60749f-d09,SCH3,07758bf5,7854,324f95e0,2024-Nov-27 00:00:00,,ENG
4d60749f-d09,SCH3,76317285,7855,324f95e0,2024-Nov-17 00:00:00,2024-Nov-20 00:00:00,
4d60749f-d09,SCH3,d82fa49a,7856,324f95e0,2024-Dec-08 00:00:00,,ENG
4d60749f-d09,SCH3,99c9a192,7857,324f95e0,2024-Nov-09 00:00:00,,ENG
4d60749f-d09,SCH3,3eb657c6,7858,324f95e0,2024-Oct-02 00:00:00,2024-Sep-22 00:00:00,ENG
4d60749f-d09,SCH3,bb9f2aae,7859,324f95e0,2024-Sep-01 00:00:00,,ENG
4d7428c9-d0c,SCH5,d0d51c28,7860,4e336a29,2024-Oct-28 00:00:00,2024-Nov-18 00:00:00,SCT
4d7428c9-d0c,SCH5,09c31d04,7861,4e336a29,2024-Nov-17 00:00:00,,SCT
4d7428c9-d0c,SCH5,4c6efcb0,7862,4e336a29,2024-Oct-09 00:00:00,2024-Nov-06 00:00:00,SCT
4d7428c9-d0c,SCH5,32c4154d,7863,4e336a29,2024-Oct-17 00:00:00,2024-Oct-16 00:00:00,SCT
4d7428c9-d0c,SCH5,6b811f97,7864,4e336a29,2024-Nov-24 00:00:00,2024-Nov-10 00:00:00,ENG
4d7428c9-d0c,SCH5,17138a4f,7865,4e336a29,2024-Oct-26 00:00:00,,SCT
4d7428c9-d0c,SCH5,f29090c2,7866,4e336a29,2024-Dec-09 00:00:00,,
4d76efcd-a6a,SCH4,5849c794,7867,62bd0d24,2024-Nov-18 00:00:00,2024-Nov-09 00:00:00,
4d76efcd-a6a,SCH4,cda6da86,7868,62bd0d24,2024-Nov-03 00:00:00,2024-Sep-12 00:00:00,WLS
4d76efcd-a6a,SCH4,1da5beef,7869,62bd0d24,2024-Nov-21 00:00:00,2024-Sep-21 00:00:00,
4d76efcd-a6a,SCH4,88cccee8,7870,62bd0d24,2024-Nov-24 00:00:00,2024-Dec-08 00:00:00,ENG
4d76efcd-a6a,SCH4,f94856f2,7871,62bd0d24,2024-Sep-05 00:00:00,2024-Nov-23 00:00:00,SCT
4d7b1a15-9bb,SCH8,44ab40d7,7872,f8119f0f,2024-Nov-02 00:00:00,2024-Nov-29 00:00:00,ENG
4d7b1a15-9bb,SCH8,8f806a6b,7873,f8119f0f,2024-Nov-08 00:00:00,,ENG
4d7b1a15-9bb,SCH8,c34d66c8,7874,f8119f0f,2024-Nov-02 00:00:00,2024-Oct-22 00:00:00,ENG
4d7b1a15-9bb,SCH8,f4640423,7875,f8119f0f,2024-Sep-24 00:00:00,,
4d7b1a15-9bb,SCH8,9d4f849a,7876,f8119f0f,2024-Sep-12 00:00:00,,ENG
4d7b1a15-9bb,SCH8,8109d7a5,7877,f8119f0f,2024-Sep-20 00:00:00,,
4d7b1a15-9bb,SCH8,b6e61642,7878,f8119f0f,2024-Nov-21 00:00:00,,ENG
4d94fa1e-fed,SCH5,3786ea0e,7879,4c07fc33,2024-Sep-08 00:00:00,,ENG
4d94fa1e-fed,SCH5,9d5391dc,7880,4c07fc33,2024-Oct-18 00:00:00,2024-Sep-07 00:00:00,SCT
4d94fa1e-fed,SCH5,5441d17f,7881,4c07fc33,2024-Nov-22 00:00:00,,ENG
4db1e3aa-b8d,SCH8,c3158d0b,7882,53fbbd23,2024-Sep-11 00:00:00,,ENG
4db1e3aa-b8d,SCH8,f9ab32eb,7883,53fbbd23,2024-Oct-31 00:00:00,2024-Nov-04 00:00:00,ENG
4db1e3aa-b8d,SCH8,da94e3f3,7884,53fbbd23,2024-Oct-07 00:00:00,,
4db1e3aa-b8d,SCH8,b078dafd,7885,53fbbd23,2024-Oct-24 00:00:00,,ENG
4db1e3aa-b8d,SCH8,da5ef14b,7886,53fbbd23,2024-Sep-08 00:00:00,2024-Dec-19 00:00:00,ENG
4dbc8a62-839,SCH7,67b91f57,7887,36db959c,2024-Nov-12 00:00:00,,SCT
4dbe5794-b1a,SCH2,1214e8f8,7888,3dd6349e,2024-Sep-25 00:00:00,2024-Nov-27 00:00:00,SCT
